"","playerID","POS","W","L","inducted","play_era","G","GS","CG","SHO","SV","IP","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","SO%","BB%","SO:BB","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","InnOuts","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use"
"34","brilene01","RP",129,112,"0","Free Agency",452,279,64,17,22,2111.7,6335,2141,807,186,547,1163,0.241702415895236,3.43940900696122,0.131293745766539,0.0617520885075638,2.12614259597806,79,50,51,5,8858,74,929,NA,NA,NA,6337,131,263,14,17,"0","No","No","No","No"
"35","brownke01","SP",211,144,"0","Steroids",486,476,72,17,0,3256.3,9769,3079,1185,208,901,2397,0.227366710973268,3.27518963240488,0.177004873726185,0.0665337468616157,2.66037735849057,42,108,139,15,13542,1,1357,95,64,330,9769,388,562,49,37,"0","No","No","No","No"
"36","brownmo01","RP",239,130,"1","Dead Ball",481,332,271,55,49,3172.2,9517,2708,725,43,673,1375,0.217091550424884,2.05693209759788,0.110229276895944,0.0539522206188873,2.04309063893016,NA,59,63,4,12474,138,1044,NA,NA,NA,NA,171,843,36,43,"0","No","No","No","No"
"37","brownto05","SP",123,90,"0","Steroids",302,300,31,12,0,1921,5763,1931,841,236,511,1000,0.239399950409125,3.94013534617387,0.123977188197372,0.0633523431688569,1.95694716242661,61,25,32,13,8066,1,913,87,62,126,5763,78,245,20,21,"0","No","No","No","No"
"38","buehrma01","SP",214,160,"0","Modern",518,493,33,10,0,3283.2,9850,3472,1391,361,734,1870,0.253338197738052,3.81304824561404,0.136446552353156,0.0535570959503831,2.54768392370572,49,27,79,16,13705,6,1542,108,91,362,9850,182,608,22,53,"0","No","No","No","No"
"39","bunniji01","SP",224,184,"1","Expansion",591,519,151,40,16,3760.2,11281,3433,1366,372,1000,2855,0.219810475092842,3.26950694112015,0.182801895249072,0.0640286848508132,2.855,98,47,160,8,15618,39,1527,NA,NA,NA,11280,206,372,23,20,"0","No","No","No","No"
"40","burdele01","RP",203,144,"0","Expansion",626,373,158,33,31,3067.3,9202,3186,1246,289,628,1074,0.249980384464496,3.65598409024223,0.0842683405256963,0.0492742251863476,1.71019108280255,NA,23,56,7,12745,128,1400,NA,NA,NA,NA,245,622,27,55,"0","No","No","No","No"
"41","burneaj01","SP",164,157,"0","Modern",435,430,24,10,0,2731.3,8194,2519,1210,263,1100,2513,0.215945135019288,3.98711236407571,0.215430775825118,0.0942991855979426,2.28454545454545,35,161,143,6,11665,1,1328,85,88,241,8194,169,318,39,16,"0","No","No","No","No"
"42","bushgu01","RP",176,136,"0","Integration",542,308,151,16,34,2721.9,8166,2950,1166,152,859,850,0.251063829787234,3.85539512840295,0.0723404255319149,0.0731063829787234,0.989522700814901,NA,51,41,2,11750,145,1369,NA,NA,NA,NA,138,643,21,38,"0","No","No","No","No"
"43","bushjo01","SP",195,183,"0","Live Ball",489,366,225,35,20,3087.4,9262,2992,1205,96,1263,1319,0.226924535456959,3.51266437779361,0.100037921880925,0.0957906712172924,1.04433887569279,NA,90,62,1,13185,93,1443,NA,NA,NA,NA,208,839,34,50,"0","No","No","No","No"
"44","cadorle01","SP",68,72,"0","Live Ball",192,147,83,10,3,1257.3,3772,1273,438,44,289,445,0.244525547445255,3.13528990694345,0.0854782942758356,0.055512869765655,1.53979238754325,NA,14,26,1,5206,36,525,NA,NA,NA,NA,57,292,15,12,"0","No","No","No","No"
"45","caldwmi01","RP",137,130,"0","Free Agency",475,307,98,23,18,2408.5,7226,2581,1020,218,597,939,0.254135486411973,3.81150093419141,0.0924576604962584,0.0587829854273336,1.57286432160804,62,65,35,9,10156,77,1182,109,60,NA,7228,116,499,15,39,"0","No","No","No","No"
"46","camniho01","SP",133,106,"0","Dead Ball",326,236,137,20,15,2085.4,6256,1852,637,41,656,915,0.222035727131039,2.74911288002302,0.109699076849299,0.078647644167366,1.39481707317073,NA,37,65,1,8341,74,857,NA,NA,NA,NA,63,486,31,8,"0","No","No","No","No"
"47","campbbi02","RP",83,68,"0","Free Agency",700,9,2,1,126,1229.3,3688,1139,484,82,495,864,0.217407902271426,3.54348002928496,0.164916968887192,0.0944836800916205,1.74545454545455,100,47,20,6,5239,455,550,88,41,84,3688,119,172,13,11,"0","No","No","No","No"
"48","candejo01","RP",177,122,"0","Free Agency",600,356,54,13,29,2525.7,7577,2399,935,245,592,1673,0.231429673934015,3.3317496139684,0.161393015628015,0.0571097819795485,2.82601351351351,63,28,37,26,10366,82,1038,105,93,182,7577,58,339,11,16,"0","No","No","No","No"
"49","candito01","SP",151,164,"0","Steroids",451,410,68,11,0,2725.1,8175,2662,1130,250,883,1735,0.230117565698479,3.73197313860042,0.149982710926694,0.0763312586445367,1.96489241223103,31,120,85,27,11568,11,1299,108,91,221,8175,230,437,18,30,"0","No","No","No","No"
"50","carltst01","SP",329,244,"1","Free Agency",741,709,254,55,2,5217.3,15652,4672,1864,414,1833,4136,0.215468339251949,3.21545627048473,0.190748512659687,0.0845362726559978,2.25641025641026,150,183,53,90,21683,13,2130,NA,NA,NA,15652,109,724,42,36,"1","Yes","Yes","No","No"
"51","carpech01","SP",144,94,"0","Modern",350,332,33,15,0,2219.3,6658,2205,927,220,627,1697,0.23696937130575,3.75929347091425,0.182375067168189,0.0673831273508866,2.70653907496013,23,51,85,3,9305,6,1021,75,48,223,6658,185,251,10,32,"0","No","No","No","No"
"52","carrocl02","RP",96,73,"0","Free Agency",731,28,1,0,143,1353.3,4060,1296,442,67,442,681,0.228450555261766,2.93948126801153,0.120042305658382,0.0779129208531641,1.54072398190045,112,41,37,5,5673,373,506,NA,NA,NA,4060,60,310,11,24,"0","No","No","No","No"
"53","chandsp01","SP",109,43,"0","Integration",211,184,109,26,6,1485,4455,1327,468,64,463,614,0.217469682071452,2.83636363636364,0.100622746640446,0.0758767617174697,1.32613390928726,NA,20,19,5,6102,14,549,NA,NA,NA,NA,106,385,10,28,"0","No","No","No","No"
"54","chesbja01","SP",198,132,"1","Dead Ball",392,332,260,35,5,2896.8,8690,2647,864,39,690,1265,0.227561898211829,2.68434134217067,0.108751719394773,0.0593191196698762,1.83333333333333,NA,62,113,2,11632,52,1206,NA,NA,NA,8694,103,836,56,28,"0","No","No","No","No"
"55","clarkjo01","SP",328,178,"1","Dead Ball",531,518,485,37,5,4536.4,13609,4295,1417,159,1191,1978,0.22432884153348,2.81126002997972,0.103311396636373,0.0622062049514259,1.6607892527288,NA,182,NA,0,19146,12,2384,NA,NA,NA,13611,221,1143,162,44,"1","Yes","No","No","No"
"56","clemero02","SP",354,184,"0","Modern",709,707,118,46,0,4916.6,14750,4185,1707,363,1580,4672,0.206768774703557,3.12472033519099,0.230830039525692,0.0780632411067194,2.95696202531646,63,143,159,20,20240,0,1885,119,103,329,14750,320,575,25,31,"2","Yes","Yes","No","Yes"
"57","coaklan01","SP",58,59,"0","Dead Ball",150,124,87,11,3,1072.3,3217,1021,280,9,314,428,0.236014794267221,2.35008859460972,0.0989366620434582,0.0725843735552473,1.36305732484076,NA,15,26,2,4326,24,436,NA,NA,NA,NA,45,260,21,5,"0","No","No","No","No"
"58","colboji01","RP",83,88,"0","Free Agency",301,204,60,8,7,1597.3,4792,1619,675,153,475,688,0.240065243179122,3.80329305703374,0.102016607354686,0.0704329774614472,1.44842105263158,41,36,41,9,6744,32,750,NA,NA,NA,4793,114,274,17,18,"0","No","No","No","No"
"59","coneda01","SP",194,126,"0","Steroids",450,419,56,22,1,2898.8,8696,2504,1115,258,1137,2668,0.205515430072226,3.46177728715331,0.218975705843729,0.0933191070256073,2.34652594547054,42,149,106,32,12184,9,1222,76,82,138,8696,220,271,28,17,"0","No","No","No","No"
"60","coombja01","SP",158,110,"0","Live Ball",354,270,187,35,8,2320.1,6960,2034,717,38,841,1052,0.214942407270422,2.78134563165381,0.111169819296206,0.0888724505970622,1.25089179548157,NA,54,88,1,9463,68,925,NA,NA,NA,NA,151,510,23,22,"0","No","No","No","No"
"61","coopemo01","SP",128,75,"0","Integration",295,239,128,33,14,1840.9,5522,1666,607,85,571,913,0.217834728033473,2.96757021022326,0.119377615062762,0.0746600418410042,1.59894921190893,NA,28,28,7,7648,39,703,NA,NA,NA,NA,50,270,16,20,"0","No","No","No","No"
"62","coopewi01","SP",216,178,"0","Live Ball",517,408,279,35,14,3480.2,10440,3415,1119,103,853,1252,0.237532169437296,2.89379920694213,0.0870835362036586,0.0593308757042498,1.46776084407972,NA,44,100,0,14377,84,1406,NA,NA,NA,NA,102,785,41,27,"0","No","No","No","No"
"63","covelst01","SP",215,142,"1","Live Ball",450,385,224,38,21,3081.9,9246,3055,990,66,802,981,0.239683037815785,2.89107368830916,0.0769653224541032,0.0629217009257806,1.22319201995012,NA,35,30,1,12746,52,1237,NA,NA,NA,NA,174,851,29,45,"0","No","No","No","No"
"64","cranddo01","RP",102,62,"0","Dead Ball",302,135,91,9,25,1546.7,4640,1538,502,52,379,606,0.242014162077105,2.92105773582466,0.0953579858379229,0.0596380802517703,1.59894459102902,NA,8,49,1,6355,146,669,NA,NA,NA,NA,76,432,20,17,"0","No","No","No","No"
"65","crowdal01","SP",167,115,"0","Live Ball",402,292,150,16,22,2344.3,7033,2453,1072,136,800,799,0.242727092816149,4.11551422599497,0.0790619433999604,0.0791608945181081,0.99875,NA,20,16,3,10106,71,1204,NA,NA,NA,NA,56,387,7,22,"0","No","No","No","No"
"66","cuellmi01","SP",185,130,"0","Free Agency",453,379,172,36,11,2807.9,8424,2538,979,222,822,1632,0.220599739243807,3.13793226254496,0.141851368970013,0.0714471968709257,1.98540145985401,61,53,12,6,11505,33,1130,NA,NA,NA,8422,108,453,30,33,"0","No","No","No","No"
"67","culpra01","SP",122,101,"0","Expansion",322,268,80,22,1,1898.2,5695,1677,755,188,752,1411,0.207909744606992,3.57970709092825,0.174931812546491,0.0932308455244235,1.87632978723404,58,73,70,3,8066,21,863,NA,NA,NA,5694,135,237,22,15,"0","No","No","No","No"
"68","cummica01","SP",145,94,"0","Dead Ball",242,241,233,19,0,2149.7,6449,2526,579,12,113,259,0.263591777105291,2.42405917104712,0.027027027027027,0.0117917144944172,2.29203539823009,NA,67,NA,0,9583,2,1450,NA,NA,NA,6450,100,319,59,10,"0","No","No","No","No"
"69","darliro01","SP",136,116,"0","Steroids",382,364,37,13,0,2360.3,7081,2244,1016,239,906,1590,0.223684210526316,3.87408380290641,0.158492822966507,0.090311004784689,1.75496688741722,40,97,59,24,10032,5,1139,95,73,166,7081,177,391,37,37,"0","No","No","No","No"
"70","darwida01","RP",171,182,"0","Steroids",716,371,53,9,32,3016.7,9050,2951,1286,321,874,1942,0.232069833280906,3.83664268903106,0.152720981440705,0.0687323057565272,2.22196796338673,101,52,81,17,12716,171,1431,124,111,194,9050,184,364,27,26,"0","No","No","No","No"
"71","daviscu01","RP",158,131,"0","Integration",429,281,141,24,33,2324.9,6975,2459,884,142,479,684,0.252153404429861,3.42208267022238,0.0701394585726005,0.0491181296144381,1.42797494780793,NA,20,47,2,9752,111,1033,NA,NA,NA,NA,146,616,21,39,"0","No","No","No","No"
"72","davisma01","RP",51,84,"0","Steroids",624,85,4,2,96,1144.9,3435,1068,530,129,534,1007,0.215539858728557,4.16630273386322,0.203229061553986,0.107769929364279,1.88576779026217,63,63,28,12,4955,265,582,60,44,90,3435,29,151,16,10,"0","No","No","No","No"
"73","deandi01","SP",150,83,"1","Integration",317,230,154,26,30,1967.3,5902,1919,661,95,453,1163,0.234854974911272,3.02394144258629,0.142332639823767,0.0554399706278301,2.5673289183223,NA,12,27,5,8171,76,774,NA,NA,NA,NA,76,283,15,15,"0","No","No","No","No"
"74","dennyjo01","SP",123,108,"0","Free Agency",325,322,62,18,0,2148.7,6446,2093,856,137,778,1146,0.230582791671257,3.58542374458975,0.126253167346039,0.085711138041203,1.47300771208226,49,68,54,12,9077,0,967,82,46,250,6446,179,451,32,46,"0","No","No","No","No"
"75","derripa01","SP",223,212,"0","Integration",579,445,251,32,29,3645.1,10935,3912,1401,158,761,1507,0.254174517575206,3.45916435763079,0.0979143655383016,0.0494444805405757,1.98028909329829,NA,50,32,2,15391,98,1652,NA,NA,NA,NA,153,656,26,30,"0","No","No","No","No"
"76","deshaji01","SP",84,95,"0","Steroids",257,253,15,6,0,1524.9,4575,1434,702,179,575,951,0.22294776119403,4.14322250639386,0.14785447761194,0.0893967661691542,1.65391304347826,39,19,27,35,6432,1,743,66,58,81,4575,45,205,14,7,"0","No","No","No","No"
