"","playerID","fg_playerID","POS","inducted","play_era","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use","Name","W","L","ERA","WAR","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","ERA-","FIP-","E-F","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","all_star_appearances","num_gold_gloves","num_cy_young","num_mvp","num_ws_mvp"
"26","newhoha01",1009535,"SP","1","Integration",135,611,22,40,"1","No","No","No","No","Hal Newhouser",207,150,3.06,59.7,488,374,212,33,26,0,2993,12648,2674,1197,1016,137,1249,1,19,65,7,1796,5.4,3.76,1.44,8.04,0.41,0.235,1.31,0.269,0.732,3.29,76,81,-0.23,146,100,146,90,69,92,92,98,105,7,0,0,2,0
"27","piercbi02",1010326,"SP","0","Expansion",123,487,28,32,"0","No","No","No","No","Billy Pierce",211,169,3.27,52.6,585,432,193,38,32,0,3306.2,13853,2989,1325,1201,284,1178,35,30,48,10,1999,5.44,3.21,1.7,8.14,0.77,0.236,1.26,0.261,0.756,3.5,84,90,-0.23,123,84,146,92,98,93,90,96,106,7,0,0,0,0
"28","roberro01",1011046,"SP","1","Expansion",316,601,31,45,"0","No","No","No","No","Robin Roberts",286,245,3.41,74.6,676,609,305,45,25,0,4688.2,19174,4582,1962,1774,505,902,69,54,33,3,2357,4.52,1.73,2.61,8.8,0.97,0.252,1.17,0.265,0.74,3.51,89,91,-0.1,97,51,190,99,106,99,86,98,103,7,0,0,0,0
"29","smithle02",1012175,"RP","1","Steroids",52,111,4,9,"0","No","No","Yes","No","Lee Smith",71,92,3.03,26.6,1021,6,0,0,478,0,1289.1,5388,1133,475,434,89,486,100,10,47,4,1251,8.73,3.39,2.57,7.91,0.62,0.232,1.26,0.294,0.767,2.93,76,74,0.1,154,103,148,90,78,92,94,104,107,7,0,0,0,0
"30","stiebda01",1012532,"SP","0","Steroids",272,493,22,45,"0","No","No","No","No","Dave Stieb",176,137,3.44,43.8,443,412,103,30,3,0,2895.1,12072,2572,1225,1106,225,1034,36,129,51,14,1669,5.19,3.21,1.61,7.99,0.7,0.236,1.25,0.26,0.734,3.82,82,93,-0.38,99,98,101,88,78,91,91,92,103,7,0,0,0,0
"31","wynnea01",1014309,"SP","1","Expansion",193,670,29,47,"0","Yes","No","No","No","Early Wynn",300,244,3.54,58.5,691,612,290,49,15,0,4564,19408,4291,2037,1796,338,1775,36,64,51,2,2334,4.6,3.5,1.31,8.46,0.67,0.244,1.33,0.265,0.724,3.68,94,97,-0.13,108,94,115,96,95,97,95,98,102,7,0,1,0,0
"32","blackew01",1001013,"SP","0","Integration",46,311,19,20,"0","No","No","No","No","Ewell Blackwell",82,78,3.3,24.9,236,169,69,15,10,0,1321,5576,1150,562,484,67,562,0,44,28,2,839,5.72,3.83,1.49,7.83,0.46,0.231,1.3,0.266,0.718,3.34,85,83,-0.05,149,107,140,87,60,90,93,98,102,6,0,0,0,0
"33","bluevi01",1001094,"SP","0","Free Agency",127,427,19,21,"0","No","No","No","No","Vida Blue",209,161,3.27,49.2,502,473,143,37,2,0,3343.1,13837,2939,1357,1213,263,1185,61,23,103,13,2175,5.85,3.19,1.84,7.91,0.71,0.233,1.23,0.263,0.738,3.43,92,94,-0.17,114,98,117,91,94,93,93,95,102,6,0,1,1,0
"34","bridgto01",1001421,"SP","0","Integration",144,469,24,23,"0","No","No","No","No","Tommy Bridges",194,138,3.57,46.6,424,362,200,33,10,0,2826.1,12165,2675,1321,1122,181,1192,0,35,59,8,1674,5.33,3.8,1.4,8.52,0.58,0.245,1.37,0.275,0.707,3.96,80,89,-0.39,154,102,152,88,102,90,92,96,106,6,0,0,0,0
"35","brownke01",642,"SP","0","Steroids",388,562,49,37,"0","No","No","No","No","Kevin Brown",211,144,3.28,76.5,486,476,72,17,0,0,3256,13542,3079,1357,1185,208,901,42,139,108,15,2397,6.63,2.49,2.66,8.51,0.57,0.246,1.22,0.29,0.722,3.33,78,78,-0.06,105,72,147,94,58,95,88,100,102,6,0,0,0,0
