"","playerID","fg_playerID","POS","inducted","play_era","GIDP","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wOBA","WAR","wRC+","Spd","Def","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"40","freehbi01",1004315,"C","0","Expansion",138,1665,44401,11235,813,81,196,106,212,741,433,16,"0","No","No","No","No","No","No","Bill Freehan",1774,6073,6899,1591,1115,241,35,200,706,758,626,67,753,114,48,38,138,24,21,0.262,0.091,0.109,0.83,0.34,0.412,0.752,0.15,0.269,0.339,44.8,113,2.8,109.1,104,103,80,106,109,121,98,11,5,0,0,0,0
"41","killeha01",1006905,"LF","1","Expansion",243,2120,54141,8849,1963,215,767,0,0,0,0,0,"0","Yes","No","No","Yes","No","No","Harmon Killebrew",2435,8147,9831,2086,1199,290,24,573,1283,1584,1559,160,1699,48,77,0,243,19,18,0.256,0.159,0.173,0.92,0.376,0.509,0.884,0.252,0.254,0.389,66.1,142,2.2,-158.9,100,175,134,115,131,191,93,11,0,1,0,0,0
"42","aparilu01",1000278,"SS","1","Expansion",184,2539,67221,4548,8016,366,1553,0,0,0,0,0,"0","No","No","No","No","Yes","No","Luis Aparicio",2601,10230,11230,2677,2108,394,92,83,1335,791,736,22,742,27,76,161,184,506,136,0.262,0.066,0.066,0.99,0.311,0.343,0.653,0.081,0.274,0.296,49.1,83,6.3,302.7,102,71,52,95,88,61,100,10,9,0,0,0,0
"43","garvest01",1004557,"1B","0","Free Agency",251,2205,58402,19004,1434,130,1531,0,0,0,0,0,"0","No","No","No","No","No","No","Steve Garvey",2332,8835,9466,2599,1844,440,43,272,1143,1308,479,113,1003,29,90,33,251,83,62,0.294,0.051,0.106,0.48,0.329,0.446,0.775,0.152,0.304,0.342,37.8,116,3.5,-118.7,111,57,83,99,115,123,106,10,4,1,0,0,0
"44","henderi01",194,"LF","1","Steroids",172,2757,71018,6468,131,141,23,0,0,0,0,0,"0","No","Yes","Yes","No","Yes","No","Rickey Henderson",3081,10961,13346,3055,2182,510,66,297,2295,1115,2190,61,1694,98,67,30,173,1406,335,0.279,0.164,0.127,1.29,0.401,0.419,0.82,0.14,0.305,0.372,106.3,132,7,-56.1,105,187,87,120,103,99,105,10,1,1,0,3,0
"45","hermabi01",1005692,"2B","1","Integration",191,0,0,5084,5823,365,1202,0,0,0,0,0,"0","No","No","No","No","No","No","Billy Herman",1922,7707,8641,2345,1730,486,82,47,1163,839,737,0,428,26,0,171,191,67,0,0.304,0.085,0.05,1.72,0.367,0.407,0.774,0.103,0.318,0.361,55.1,115,4.5,117.4,110,104,64,109,105,91,110,10,0,0,0,0,0
"46","kellge01",1006783,"3B","1","Integration",188,394,9842,2390,3326,168,360,0,0,0,0,0,"0","No","No","No","No","No","No","George Kell",1795,6702,7528,2054,1541,385,50,78,881,870,621,7,287,36,20,149,188,51,36,0.306,0.082,0.038,2.16,0.367,0.414,0.781,0.107,0.311,0.362,38.2,111,3.6,25.4,115,79,41,106,106,88,110,10,0,0,0,0,0
"47","medwijo01",1008719,"OF","1","Integration",203,0,0,4152,143,86,36,0,0,0,0,0,"1","No","No","No","No","No","No","Joe Medwick",1984,7635,8142,2471,1613,540,113,205,1198,1383,437,0,551,26,0,44,203,42,0,0.324,0.054,0.068,0.79,0.362,0.505,0.867,0.181,0.329,0.393,54.5,132,4.8,-35.3,118,65,88,107,130,160,114,10,0,1,0,0,0
"48","mizejo01",1009014,"1B","1","Integration",99,0,0,14862,1033,133,1320,0,0,0,0,0,"0","No","No","No","No","No","No","Johnny Mize",1884,6443,7371,2011,1202,367,83,359,1118,1337,856,0,524,52,0,20,99,28,1,0.312,0.116,0.071,1.63,0.397,0.562,0.959,0.25,0.297,0.433,68.1,155,4,-58.2,115,129,86,116,144,210,104,10,0,0,0,0,0
"49","morgajo02",1009179,"2B","1","Free Agency",105,2489,65052,5758,6969,245,1505,0,0,0,0,0,"0","No","No","Yes","No","Yes","No","Joe Morgan",2649,9277,11329,2517,1704,449,96,268,1650,1133,1865,76,1015,40,96,51,105,689,162,0.271,0.165,0.09,1.84,0.392,0.427,0.819,0.156,0.278,0.372,98.8,135,6.5,14,103,189,69,119,110,125,97,10,5,2,0,1,0
"50","ortizda01",745,"1B","1","Modern",236,266,6486,1983,164,22,177,0,0,0,0,0,"0","Yes","No","No","Yes","No","Yes","David Ortiz",2408,8640,10091,2472,1280,632,19,541,1419,1768,1319,209,1750,38,92,2,236,17,9,0.286,0.131,0.173,0.75,0.38,0.552,0.931,0.265,0.3,0.392,51,140,2.3,-247.6,108,158,101,115,131,170,100,10,0,0,1,7,2
"51","puckeki01",1010557,"CF","1","Steroids",188,1684,43871,4392,143,51,37,0,0,0,0,0,"0","No","No","No","No","No","No","Kirby Puckett",1783,7244,7831,2304,1626,414,57,207,1071,1085,450,85,965,56,58,23,188,134,76,0.318,0.057,0.123,0.47,0.36,0.477,0.837,0.159,0.342,0.366,44.9,122,4.8,-28.4,121,65,85,109,118,113,119,10,6,0,0,6,0
"52","reesepe01",1010776,"SS","1","Integration",176,546,14542,4124,6131,407,1255,0,0,0,0,0,"0","No","No","No","No","No","No","Pee Wee Reese",2166,8058,9470,2170,1634,330,80,126,1338,885,1210,3,890,26,19,157,176,232,45,0.269,0.128,0.094,1.36,0.366,0.377,0.743,0.108,0.289,0.35,61.2,103,5.5,241.7,101,136,102,108,94,81,104,10,0,0,0,0,0
