"","playerID","fg_playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PA","BA","1B","SLG","OBP","OPS","SO%","BB%","BB:SO","Range","POS","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","inducted","play_era","ISO","BABIP","wOBA","WAR","wRC+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"11","hollima01",1873,1903,7009,1157,2096,468,32,316,1220,108,37,802,1362,57,124,1,45,220,7980,0.299044086174918,1280,0.510201169924383,0.378696741854637,0.888897911779019,0.170676691729323,0.100501253132832,0.588839941262849,1.59747766684183,"LF",1715,44074,2956,84,52,22,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,7,NA,NA,NA,4,NA
"12","mccanbr01",4810,1755,6067,742,1590,294,5,282,1018,25,9,640,1054,71,75,9,59,180,6841,0.262073512444371,1009,0.451623537168287,0.336939043999415,0.788562581167703,0.154071042245286,0.0935535740388832,0.607210626185958,7.35213675213675,"C",1549,40876,12165,738,96,91,84,0,897,297,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,7,NA,NA,NA,6,NA
"13","perezsa02",7304,1254,4752,539,1274,236,11,223,732,6,1,180,914,23,60,0,38,154,5030,0.268097643097643,804,0.463173400673401,0.300994035785288,0.764167436458689,0.181709741550696,0.0357852882703777,0.196936542669584,6.92025518341308,"C",1087,28130,8081,597,42,66,31,0,382,236,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,7,5,NA,1,4,NA
"14","poseybu01",9166,1371,4970,663,1500,293,9,158,729,23,9,540,721,67,43,1,53,163,5606,0.301810865191147,1040,0.459758551307847,0.371566179093828,0.831324730401675,0.128612201212986,0.096325365679629,0.748959778085992,7.71188913202042,"C",1264,32955,9919,654,53,187,27,0,521,256,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,7,1,1,NA,5,1
"15","wrighda03",3787,1585,5998,949,1777,390,26,242,970,196,65,762,1292,73,45,0,65,152,6870,0.296265421807269,1119,0.490996998999667,0.376128093158661,0.867125092158327,0.18806404657933,0.110917030567686,0.589783281733746,2.54637223974763,"3B",1571,41797,1088,2948,190,237,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,7,2,NA,NA,2,NA
"16","bautijo02",1887,1798,6051,1022,1496,312,17,344,975,70,32,1032,1394,58,80,23,58,170,7221,0.247231862502066,823,0.474962816063461,0.36116881318377,0.83613162924723,0.19304805428611,0.142916493560449,0.740315638450502,1.94660734149055,"RF",1525,40666,2577,923,85,104,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,6,NA,NA,NA,3,2
"17","freemfr01",5361,1724,6379,1086,1903,414,27,292,1041,66,27,860,1414,114,81,0,48,132,7368,0.298322621100486,1170,0.509013952030099,0.38599348534202,0.895007437372118,0.191910966340934,0.11672095548317,0.608203677510608,8.45997679814385,"1B",1677,44445,13585,1000,69,1248,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,6,1,1,NA,3,1
"18","harpebr03",11579,1382,4927,913,1379,298,23,285,817,122,43,879,1276,112,39,12,51,106,5896,0.279886340572356,773,0.523239293687842,0.389586160108548,0.912825453796391,0.216417910447761,0.149084124830393,0.688871473354232,1.69826338639653,"RF",1244,32379,2269,78,38,11,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,6,NA,2,NA,2,2
"19","machama01",11493,1445,5673,839,1597,312,18,283,853,85,34,513,1069,61,24,14,49,163,6259,0.281508901815618,984,0.492508372994888,0.340949033391916,0.833457406386804,0.170794056558556,0.0819619747563508,0.479887745556595,2.80899653979239,"3B",1412,37058,1190,2869,128,375,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,6,2,NA,NA,1,NA
"20","mauerjo01",1857,1858,6930,1018,2123,428,30,143,923,52,19,939,1034,145,25,6,60,208,7954,0.306349206349206,1522,0.438672438672439,0.388106613024893,0.826779051697332,0.129997485541866,0.118053809404073,0.908123791102515,6.13885898815931,"C",1469,39086,10707,699,49,520,40,0,364,181,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,6,3,1,NA,5,NA
"21","utleych01",1679,1937,6857,1103,1885,411,58,259,1025,154,22,724,1193,62,204,6,72,93,7857,0.274901560449176,1157,0.465072189003938,0.358024691358025,0.823096880361962,0.151839124347715,0.0921471299478172,0.606873428331936,4.28549303045947,"2B",1723,45785,3728,4573,149,1019,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,6,NA,NA,NA,4,NA
"22","vottojo01",4314,1991,7044,1145,2093,453,22,342,1106,80,29,1338,1578,147,74,0,48,166,8504,0.297132311186826,1276,0.513344690516752,0.412158984007526,0.925503674524278,0.185559736594544,0.157337723424271,0.847908745247148,8.12656956303365,"1B",1913,50044,14440,1740,106,1398,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,6,1,1,NA,NA,1
"23","brantmi02",4106,1430,5512,751,1641,346,25,127,713,125,33,483,656,37,37,13,46,128,6078,0.297714078374456,1143,0.438679245283019,0.355544587035209,0.794223832318228,0.107930240210596,0.079466929911155,0.736280487804878,1.65244755244755,"LF",1235,32393,2299,64,16,14,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA
