"","playerID","fg_playerID","POS","inducted","play_era","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","PA","BA","1B","SLG","OBP","OPS","SO%","BB%","BB:SO","Range","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","ISO","BABIP","wOBA","WAR","wRC+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"164","galaran01",1390,"1B","0","Steroids",2257,8096,1195,2333,444,32,399,1425,128,81,583,2003,106,178,1,58,179,1992,53276,18244,1376,176,1648,0,0,0,0,0,8915,0.288166996047431,1458,0.498764822134387,0.347055524397084,0.845820346531471,0.224677509814919,0.0653954010095345,0.291063404892661,8.6929552503323,"0","No","No","No","No","No","No",0.211,0.336,0.365,31.4,118,5,2,NA,NA,2,NA
"165","giambja01",818,"1B","0","Steroids",2260,7267,1227,2010,405,9,440,1441,20,12,1366,1572,97,180,2,93,166,1455,36241,10989,649,104,1011,0,0,0,0,0,8906,0.276592816843264,1156,0.516444199807348,0.399281383337076,0.915725583144424,0.176510217830676,0.153379743992814,0.868956743002545,5.14955752212389,"0","No","No","No","No","No","Yes",0.24,0.294,0.394,49.8,140,5,NA,1,NA,2,NA
"166","gonzalu01",55,"LF","0","Modern",2591,9157,1412,2591,596,68,354,1439,128,87,1155,1218,150,111,10,98,212,2374,62281,4520,120,64,19,0,0,0,0,0,10521,0.282952932183029,1573,0.478868625095555,0.366600133067199,0.845468758162754,0.115768463073852,0.109780439121756,0.948275862068966,1.79081435739097,"0","No","No","No","No","Yes","No",0.196,0.291,0.364,55.2,118,5,NA,NA,NA,1,NA
"167","greenha01",1004996,"1B","1","Integration",1394,5193,1051,1628,379,71,331,1276,58,26,852,844,0,16,35,0,66,0,0,11023,741,122,974,0,0,0,0,0,6061,0.313498940881956,847,0.605045253225496,0.411813232139911,1.01685848536541,0.139250948688335,0.140570862893912,1.00947867298578,8.4390243902439,"0","No","No","No","No","No","No",0.292,0.323,0.453,60.6,153,5,NA,2,NA,NA,NA
"168","groatdi01",1005075,"SS","0","Expansion",1929,7484,829,2138,352,67,39,707,14,27,490,512,39,31,122,52,220,1781,47109,3526,5864,376,1241,0,0,0,0,0,8057,0.285676109032603,1680,0.366247995724212,0.330023581978404,0.696271577702615,0.0635472260146456,0.0608166811468288,0.95703125,4.86780715396579,"0","No","No","No","No","No","No",0.081,0.301,0.312,33.2,90,5,NA,1,NA,NA,NA
"169","guerrpe01",1005120,"RF","0","Free Agency",1536,5392,730,1618,267,29,215,898,97,47,609,862,115,32,9,73,122,1425,36638,6007,1093,165,407,0,0,0,0,0,6106,0.300074183976261,1107,0.479970326409496,0.369963969865706,0.849934296275201,0.141172617097936,0.099737962659679,0.706496519721578,4.62239583333333,"0","No","No","No","No","No","No",0.18,0.32,0.371,36.5,137,5,NA,NA,1,1,NA
"170","hackst01",1005183,"3B","0","Integration",1938,7278,1239,2193,363,81,57,642,165,0,1092,466,0,21,115,0,78,0,0,2311,3527,251,298,0,0,0,0,0,8391,0.301319043693322,1692,0.396949711459192,0.393993564533429,0.790943275992621,0.0555356930044095,0.130139435109045,2.34334763948498,3.01238390092879,"0","No","No","No","No","No","No",0.096,0.316,0.375,55.9,124,5,NA,NA,NA,NA,NA
"171","heganji01",1005582,"C","0","Integration",1666,4772,550,1087,187,46,92,525,15,24,456,742,14,4,72,14,113,457,12344,7506,695,86,136,75,64,120,83,6,5246,0.227787091366303,762,0.344090528080469,0.294891345787267,0.638981873867736,0.141441097979413,0.086923370186809,0.61455525606469,4.92256902761104,"0","No","No","No","No","No","No",0.116,0.252,0.296,8.6,74,5,NA,NA,NA,NA,NA
"172","heltoto01",432,"1B","0","Modern",2247,7962,1401,2519,592,37,369,1406,37,29,1335,1175,185,57,3,93,186,2134,56007,18905,1728,79,2028,0,0,0,0,0,9447,0.316377794523989,1521,0.539060537553379,0.41399386048481,0.953054398038189,0.124378109452736,0.141314703080343,1.13617021276596,9.18246550956831,"0","No","No","No","No","No","No",0.223,0.33,0.405,54.9,132,5,3,NA,NA,4,1
"173","henrito01",1005664,"OF","0","Integration",1284,4603,901,1297,269,73,183,795,37,19,712,383,0,34,60,0,62,0,0,3518,178,56,205,0,0,0,0,0,5349,0.281772756897675,772,0.491201390397567,0.381940549635446,0.873141940033013,0.0716021686296504,0.133108992335016,1.85900783289817,2.8785046728972,"0","No","No","No","No","No","No",0.209,0.276,0.402,38.6,131,5,NA,NA,NA,NA,NA
